Net Status Report
Filename     : F:\ÄÈÏËÎÌ\diplom\diplom.PcbDoc
Date         : 29.05.2023
Time         : 18:59:21
Time Elapsed : 00:00:00

Nets, Layer, Length
    +, Signal Layers Only, 1262.4628mm
    -4,5Â, Signal Layers Only, 78.6765mm
    NetBA1_N, Signal Layers Only, 208.0078mm
    NetBA1_P, Signal Layers Only, 202.1238mm
    NetBQ2_1, Signal Layers Only, 18.083mm
    NetBQ2_2, Signal Layers Only, 12.115mm
    NetC10_2, Signal Layers Only, 157.1646mm
    NetC11_1, Signal Layers Only, 65.1052mm
    NetC11_2, Signal Layers Only, 204.829mm
    NetC12_2, Signal Layers Only, 145.2685mm
    NetC13_1, Signal Layers Only, 29.911mm
    NetC14_1, Signal Layers Only, 201.4769mm
    NetC15_1, Signal Layers Only, 233.0323mm
    NetC16_2, Signal Layers Only, 109.3873mm
    NetC17_1, Signal Layers Only, 24.2065mm
    NetC17_2, Signal Layers Only, 14.7673mm
    NetC19_1, Signal Layers Only, 37.7589mm
    NetC1_1, Signal Layers Only, 151.6154mm
    NetC20_2, Signal Layers Only, 105.9235mm
    NetC22_2, Signal Layers Only, 119.3989mm
    NetC24_1, Signal Layers Only, 63.9595mm
    NetC25_2, Signal Layers Only, 127.9178mm
    NetC26_1, Signal Layers Only, 90.4527mm
    NetC27_2, Signal Layers Only, 104.3988mm
    NetC28_2, Signal Layers Only, 13.1625mm
    NetC29_1, Signal Layers Only, 58.8312mm
    NetC29_2, Signal Layers Only, 95.9194mm
    NetC2_2, Signal Layers Only, 17.3462mm
    NetC30_1, Signal Layers Only, 159.0005mm
    NetC31_2, Signal Layers Only, 93.3205mm
    NetC32_1, Signal Layers Only, 19.3757mm
    NetC35_1, Signal Layers Only, 127.4553mm
    NetC38_1, Signal Layers Only, 65.6512mm
    NetC38_2, Signal Layers Only, 103.2529mm
    NetC39_1, Signal Layers Only, 489.8363mm
    NetC3_1, Signal Layers Only, 48.165mm
    NetC3_2, Signal Layers Only, 33.6264mm
    NetC4_2, Signal Layers Only, 130.1271mm
    NetC5_1, Signal Layers Only, 88.4611mm
    NetC6_1, Signal Layers Only, 21.9534mm
    NetC7_2, Signal Layers Only, 53.9273mm
    NetC8_1, Signal Layers Only, 53.1985mm
    NetC8_2, Signal Layers Only, 122.2501mm
    NetDD1_10, Signal Layers Only, 103.4962mm
    NetDD1_3, Signal Layers Only, 5.8236mm
    NetDD2_1, Signal Layers Only, 19.9905mm
    NetDD2_2, Signal Layers Only, 38.3798mm
    NetDD3_2, Signal Layers Only, 139.6282mm
    NetDD3_4, Signal Layers Only, 37.6971mm
    NetDD4_13, Signal Layers Only, 0mm
